TimeStep,RS,RR,RR,RR,RR
12,-0.687190056,-0.312978029,-1.000168085,0.312978029,-0.625956058
12,-0.685656071,-0.414222002,-1.099878073,0.414222002,-0.828444004
12,-0.684122086,-0.50165987,-1.185781956,0.50165987,-1.00331974
12,-0.685656071,-0.563019991,-1.248676062,0.563019991,-1.126039982
12,-0.685656071,-0.625914097,-1.311570168,0.625914097,-1.251828194
12,-0.684122086,-0.642787933,-1.326910019,0.642787933,-1.285575866
12,-0.681054115,-0.642787933,-1.323842048,0.642787933,-1.285575866
12,-0.674918175,-0.645855904,-1.320774079,0.645855904,-1.291711808
12,-0.66418004,-0.653526068,-1.317706108,0.653526068,-1.307052136
12,-0.659578085,-0.698011875,-1.35758996,0.698011875,-1.39602375
12,-0.65497613,-0.760905981,-1.415882111,0.760905981,-1.521811962
12,-0.651908159,-0.771643877,-1.423552036,0.771643877,-1.543287754
12,-0.64577198,-0.771643877,-1.417415857,0.771643877,-1.543287754
12,-0.616626024,-0.771643877,-1.388269901,0.771643877,-1.543287754
12,-0.599751949,-0.771643877,-1.371395826,0.771643877,-1.543287754
12,-0.559868097,-0.771643877,-1.331511974,0.771643877,-1.543287754
12,-0.509246111,-0.771643877,-1.280889988,0.771643877,-1.543287754
12,-0.46015811,-0.771643877,-1.231801987,0.771643877,-1.543287754
12,-0.420274019,-0.762439966,-1.182713985,0.762439966,-1.524879932
12,-0.351243973,-0.73022604,-1.081470013,0.73022604,-1.46045208
12,-0.300621986,-0.71181798,-1.012439966,0.71181798,-1.42363596
12,-0.220854044,-0.694943905,-0.915797949,0.694943905,-1.38988781
12,-0.139552116,-0.668865919,-0.808418035,0.668865919,-1.337731838
12,-0.05211401,-0.632050037,-0.684164047,0.632050037,-1.264100074
12,0.039926052,-0.602904081,-0.562978029,0.602904081,-1.205808162
12,0.13043189,-0.581428051,-0.450996161,0.581428051,-1.162856102
12,0.228607893,-0.543077946,-0.314470053,0.543077946,-1.086155892
12,0.32218194,-0.509330034,-0.187148094,0.509330034,-1.018660068
12,0.421891928,-0.484786034,-0.062894106,0.484786034,-0.969572068
12,0.515465975,-0.457174063,0.058291912,0.457174063,-0.914348126
12,0.610574007,-0.428027868,0.182546139,0.428027868,-0.856055736
12,0.710283995,-0.394279957,0.316004038,0.394279957,-0.788559914
12,0.770109892,-0.377405882,0.39270401,0.377405882,-0.754811764
12,0.859082222,-0.351327896,0.507754326,0.351327896,-0.702655792
12,0.917374134,-0.332920074,0.58445406,0.332920074,-0.665840148
12,1.004811764,-0.302239895,0.702571869,0.302239895,-0.60447979
